ts,ts_iso,topic,device_type,device_id,voltage,current_signed,current,power_signed,power,direction,ip,raw_payload
1771243463027,2026-02-16T18:04:23,battery/data,,,,,,,,,,"{""uptime_ms"":2693871,""bus_V"":3.852,""shunt_mV"":-0.010,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243468230,2026-02-16T18:04:28,battery/data,,,,,,,,,,"{""uptime_ms"":2698872,""bus_V"":3.852,""shunt_mV"":-0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243473025,2026-02-16T18:04:33,battery/data,,,,,,,,,,"{""uptime_ms"":2703873,""bus_V"":3.848,""shunt_mV"":0.000,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243478038,2026-02-16T18:04:38,battery/data,,,,,,,,,,"{""uptime_ms"":2708874,""bus_V"":3.852,""shunt_mV"":-0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243483024,2026-02-16T18:04:43,battery/data,,,,,,,,,,"{""uptime_ms"":2713875,""bus_V"":3.852,""shunt_mV"":0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243488033,2026-02-16T18:04:48,battery/data,,,,,,,,,,"{""uptime_ms"":2718876,""bus_V"":3.848,""shunt_mV"":-0.020,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243493035,2026-02-16T18:04:53,battery/data,,,,,,,,,,"{""uptime_ms"":2723877,""bus_V"":3.852,""shunt_mV"":0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243498042,2026-02-16T18:04:58,battery/data,,,,,,,,,,"{""uptime_ms"":2728878,""bus_V"":3.852,""shunt_mV"":-0.030,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243503029,2026-02-16T18:05:03,battery/data,,,,,,,,,,"{""uptime_ms"":2733879,""bus_V"":3.852,""shunt_mV"":-0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243508030,2026-02-16T18:05:08,battery/data,,,,,,,,,,"{""uptime_ms"":2738880,""bus_V"":3.852,""shunt_mV"":-0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243513037,2026-02-16T18:05:13,battery/data,,,,,,,,,,"{""uptime_ms"":2743881,""bus_V"":3.852,""shunt_mV"":-0.040,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243518031,2026-02-16T18:05:18,battery/data,,,,,,,,,,"{""uptime_ms"":2748882,""bus_V"":3.852,""shunt_mV"":-0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243523036,2026-02-16T18:05:23,battery/data,,,,,,,,,,"{""uptime_ms"":2753883,""bus_V"":3.852,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243528034,2026-02-16T18:05:28,battery/data,,,,,,,,,,"{""uptime_ms"":2758884,""bus_V"":3.848,""shunt_mV"":-0.020,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243533040,2026-02-16T18:05:33,battery/data,,,,,,,,,,"{""uptime_ms"":2763885,""bus_V"":3.852,""shunt_mV"":-0.030,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243538040,2026-02-16T18:05:38,battery/data,,,,,,,,,,"{""uptime_ms"":2768886,""bus_V"":3.848,""shunt_mV"":0.000,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243543040,2026-02-16T18:05:43,battery/data,,,,,,,,,,"{""uptime_ms"":2773887,""bus_V"":3.852,""shunt_mV"":-0.030,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243548051,2026-02-16T18:05:48,battery/data,,,,,,,,,,"{""uptime_ms"":2778888,""bus_V"":3.852,""shunt_mV"":-0.020,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243553048,2026-02-16T18:05:53,battery/data,,,,,,,,,,"{""uptime_ms"":2783889,""bus_V"":3.852,""shunt_mV"":-0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243558053,2026-02-16T18:05:58,battery/data,,,,,,,,,,"{""uptime_ms"":2788890,""bus_V"":3.852,""shunt_mV"":0.000,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243563045,2026-02-16T18:06:03,battery/data,,,,,,,,,,"{""uptime_ms"":2793891,""bus_V"":3.848,""shunt_mV"":-0.030,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243568049,2026-02-16T18:06:08,battery/data,,,,,,,,,,"{""uptime_ms"":2798892,""bus_V"":3.852,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243573047,2026-02-16T18:06:13,battery/data,,,,,,,,,,"{""uptime_ms"":2803893,""bus_V"":3.856,""shunt_mV"":0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243578067,2026-02-16T18:06:18,battery/data,,,,,,,,,,"{""uptime_ms"":2808894,""bus_V"":3.852,""shunt_mV"":-0.020,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243583057,2026-02-16T18:06:23,battery/data,,,,,,,,,,"{""uptime_ms"":2813895,""bus_V"":3.852,""shunt_mV"":-0.030,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243588051,2026-02-16T18:06:28,battery/data,,,,,,,,,,"{""uptime_ms"":2818896,""bus_V"":3.848,""shunt_mV"":-0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243593051,2026-02-16T18:06:33,battery/data,,,,,,,,,,"{""uptime_ms"":2823897,""bus_V"":3.852,""shunt_mV"":-0.020,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243598051,2026-02-16T18:06:38,battery/data,,,,,,,,,,"{""uptime_ms"":2828898,""bus_V"":3.852,""shunt_mV"":0.000,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243603051,2026-02-16T18:06:43,battery/data,,,,,,,,,,"{""uptime_ms"":2833899,""bus_V"":3.852,""shunt_mV"":0.000,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243608063,2026-02-16T18:06:48,battery/data,,,,,,,,,,"{""uptime_ms"":2838900,""bus_V"":3.852,""shunt_mV"":-0.020,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243613056,2026-02-16T18:06:53,battery/data,,,,,,,,,,"{""uptime_ms"":2843901,""bus_V"":3.852,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243618056,2026-02-16T18:06:58,battery/data,,,,,,,,,,"{""uptime_ms"":2848902,""bus_V"":3.852,""shunt_mV"":-0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243623059,2026-02-16T18:07:03,battery/data,,,,,,,,,,"{""uptime_ms"":2853903,""bus_V"":3.852,""shunt_mV"":-0.010,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243628056,2026-02-16T18:07:08,battery/data,,,,,,,,,,"{""uptime_ms"":2858904,""bus_V"":3.852,""shunt_mV"":-0.020,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243633056,2026-02-16T18:07:13,battery/data,,,,,,,,,,"{""uptime_ms"":2863905,""bus_V"":3.852,""shunt_mV"":-0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243638068,2026-02-16T18:07:18,battery/data,,,,,,,,,,"{""uptime_ms"":2868906,""bus_V"":3.852,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243643062,2026-02-16T18:07:23,battery/data,,,,,,,,,,"{""uptime_ms"":2873907,""bus_V"":3.852,""shunt_mV"":-0.020,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243648064,2026-02-16T18:07:28,battery/data,,,,,,,,,,"{""uptime_ms"":2878908,""bus_V"":3.852,""shunt_mV"":-0.020,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243653075,2026-02-16T18:07:33,battery/data,,,,,,,,,,"{""uptime_ms"":2883909,""bus_V"":3.848,""shunt_mV"":-0.030,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243658064,2026-02-16T18:07:38,battery/data,,,,,,,,,,"{""uptime_ms"":2888910,""bus_V"":3.852,""shunt_mV"":-0.020,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243663064,2026-02-16T18:07:43,battery/data,,,,,,,,,,"{""uptime_ms"":2893911,""bus_V"":3.852,""shunt_mV"":0.000,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243668071,2026-02-16T18:07:48,battery/data,,,,,,,,,,"{""uptime_ms"":2898912,""bus_V"":3.852,""shunt_mV"":0.000,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243673070,2026-02-16T18:07:53,battery/data,,,,,,,,,,"{""uptime_ms"":2903913,""bus_V"":3.852,""shunt_mV"":0.000,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243678068,2026-02-16T18:07:58,battery/data,,,,,,,,,,"{""uptime_ms"":2908914,""bus_V"":3.852,""shunt_mV"":-0.030,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243683068,2026-02-16T18:08:03,battery/data,,,,,,,,,,"{""uptime_ms"":2913915,""bus_V"":3.852,""shunt_mV"":-0.040,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243688070,2026-02-16T18:08:08,battery/data,,,,,,,,,,"{""uptime_ms"":2918916,""bus_V"":3.852,""shunt_mV"":-0.010,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243693071,2026-02-16T18:08:13,battery/data,,,,,,,,,,"{""uptime_ms"":2923917,""bus_V"":3.852,""shunt_mV"":-0.010,""current_A"":0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771243698074,2026-02-16T18:08:18,battery/data,,,,,,,,,,"{""uptime_ms"":2928918,""bus_V"":3.852,""shunt_mV"":0.000,""current_A"":-0.000,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
