ts,ts_iso,topic,device_type,device_id,voltage,shunt_mV,current,power,soc_percent,soh_percent,uptime_ms,raw_payload
1771569871908,2026-02-20T12:44:31,battery/data,battery,esp32_bms,0.028,-0.08,-0.001,,100.0,19.31,75551767,"{""uptime_ms"":75551767,""bus_V"":0.028,""shunt_mV"":-0.080,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771569876897,2026-02-20T12:44:36,battery/data,battery,esp32_bms,0.024,-0.09,-0.001,,100.0,19.31,75556768,"{""uptime_ms"":75556768,""bus_V"":0.024,""shunt_mV"":-0.090,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771569883652,2026-02-20T12:44:43,battery/data,battery,esp32_bms,0.024,-0.05,-0.001,,100.0,19.31,75561769,"{""uptime_ms"":75561769,""bus_V"":0.024,""shunt_mV"":-0.050,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771569886898,2026-02-20T12:44:46,battery/data,battery,esp32_bms,0.024,-0.08,-0.001,,100.0,19.31,75566770,"{""uptime_ms"":75566770,""bus_V"":0.024,""shunt_mV"":-0.080,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771569891932,2026-02-20T12:44:51,battery/data,battery,esp32_bms,0.024,-0.09,-0.001,,100.0,19.31,75571771,"{""uptime_ms"":75571771,""bus_V"":0.024,""shunt_mV"":-0.090,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771569896897,2026-02-20T12:44:56,battery/data,battery,esp32_bms,0.024,-0.07,-0.001,,100.0,19.31,75576772,"{""uptime_ms"":75576772,""bus_V"":0.024,""shunt_mV"":-0.070,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771569901908,2026-02-20T12:45:01,battery/data,battery,esp32_bms,0.024,-0.08,-0.001,,100.0,19.31,75581773,"{""uptime_ms"":75581773,""bus_V"":0.024,""shunt_mV"":-0.080,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771569906902,2026-02-20T12:45:06,battery/data,battery,esp32_bms,0.024,-0.09,-0.001,,100.0,19.31,75586774,"{""uptime_ms"":75586774,""bus_V"":0.024,""shunt_mV"":-0.090,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771569911900,2026-02-20T12:45:11,battery/data,battery,esp32_bms,0.028,-0.07,-0.001,,100.0,19.31,75591775,"{""uptime_ms"":75591775,""bus_V"":0.028,""shunt_mV"":-0.070,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771569916901,2026-02-20T12:45:16,battery/data,battery,esp32_bms,0.024,-0.09,-0.001,,100.0,19.31,75596776,"{""uptime_ms"":75596776,""bus_V"":0.024,""shunt_mV"":-0.090,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
1771569921957,2026-02-20T12:45:21,battery/data,battery,esp32_bms,0.028,-0.07,-0.001,,100.0,19.31,75601777,"{""uptime_ms"":75601777,""bus_V"":0.028,""shunt_mV"":-0.070,""current_A"":-0.001,""power_W"":0.000,""soc_percent"":100.00,""soh_percent"":19.31}"
